FillNumber,RunNumber,RtsStatus,ShiftStatus,RunType,BeginRunTime,TotalRunTime,nEvents,nFiles
18761.0,16068040,0,0,3,2015-03-09 22:07:04,1264,2425013,209
18761.0,16068042,0,0,3,2015-03-09 22:36:59,1763,3584797,290
18761.0,16068043,0,0,3,2015-03-09 23:07:16,97,160078,114
18763.0,16068055,0,0,3,2015-03-10 03:45:41,1805,3918249,365
18763.0,16068056,0,0,3,2015-03-10 04:16:46,1170,2162257,226
18763.0,16068057,0,0,3,2015-03-10 04:37:14,558,616549,137
18763.0,16068058,0,0,3,2015-03-10 04:47:24,1828,3587255,346
18763.0,16069001,0,0,3,2015-03-10 05:18:57,1930,3937370,347
18763.0,16069002,0,0,3,2015-03-10 05:52:02,1830,3832078,339
18763.0,16069003,0,0,3,2015-03-10 06:23:25,1553,2763924,253
18763.0,16069004,0,0,3,2015-03-10 06:57:19,358,464202,107
18763.0,16069005,0,0,3,2015-03-10 07:10:55,562,1034356,129
18763.0,16069006,0,0,3,2015-03-10 07:21:09,1808,3564271,289
18763.0,16069007,0,0,3,2015-03-10 07:52:21,1796,3604379,310
18763.0,16069008,0,0,3,2015-03-10 08:23:09,1817,3795340,302
18763.0,16069009,0,0,3,2015-03-10 08:54:21,1801,3612074,286
18763.0,16069010,0,0,3,2015-03-10 09:25:15,1242,2450934,227
18763.0,16069011,0,0,3,2015-03-10 09:53:26,1813,3630230,291
18763.0,16069012,0,0,3,2015-03-10 10:24:35,1822,3724916,289
18763.0,16069016,0,0,3,2015-03-10 11:17:43,1173,2337308,269
18764.0,16069024,0,0,3,2015-03-10 13:58:26,624,1142012,158
18764.0,16069025,0,0,3,2015-03-10 14:09:59,1856,3784529,387
18764.0,16069026,0,0,3,2015-03-10 14:41:58,1807,3659179,352
18764.0,16069027,0,0,3,2015-03-10 15:13:05,1820,3554898,325
18764.0,16069028,0,0,3,2015-03-10 15:44:24,1820,3596911,325
18764.0,16069029,0,0,3,2015-03-10 16:15:42,660,1315849,161
18764.0,16069030,0,0,3,2015-03-10 16:35:07,1293,2525814,235
18764.0,16069031,0,0,3,2015-03-10 17:03:32,733,1455475,184
18764.0,16069032,0,0,3,2015-03-10 17:18:44,456,911542,131
